timestamp_unix,timestamp_iso,participant_full_id,activity_intensity,missing_value_reason
1768442580000,2026-01-15T02:03:00Z,1788-1-1-GV,,device_not_recording
1768442640000,2026-01-15T02:04:00Z,1788-1-1-GV,,device_not_recording
1768442700000,2026-01-15T02:05:00Z,1788-1-1-GV,,device_not_recording
1768442760000,2026-01-15T02:06:00Z,1788-1-1-GV,,device_not_recording
1768442820000,2026-01-15T02:07:00Z,1788-1-1-GV,,device_not_recording
1768442880000,2026-01-15T02:08:00Z,1788-1-1-GV,,device_not_recording
1768442940000,2026-01-15T02:09:00Z,1788-1-1-GV,,device_not_recording
1768443000000,2026-01-15T02:10:00Z,1788-1-1-GV,,device_not_recording
1768443060000,2026-01-15T02:11:00Z,1788-1-1-GV,,device_not_recording
1768443120000,2026-01-15T02:12:00Z,1788-1-1-GV,,device_not_recording
1768443180000,2026-01-15T02:13:00Z,1788-1-1-GV,,device_not_recording
1768443240000,2026-01-15T02:14:00Z,1788-1-1-GV,,device_not_recording
1768443300000,2026-01-15T02:15:00Z,1788-1-1-GV,,device_not_recording
1768443360000,2026-01-15T02:16:00Z,1788-1-1-GV,,device_not_recording
1768443420000,2026-01-15T02:17:00Z,1788-1-1-GV,,device_not_recording
1768443480000,2026-01-15T02:18:00Z,1788-1-1-GV,,device_not_recording
1768443540000,2026-01-15T02:19:00Z,1788-1-1-GV,,device_not_recording
1768443600000,2026-01-15T02:20:00Z,1788-1-1-GV,,device_not_recording
1768443660000,2026-01-15T02:21:00Z,1788-1-1-GV,,device_not_recording
1768443720000,2026-01-15T02:22:00Z,1788-1-1-GV,,device_not_recording
1768443780000,2026-01-15T02:23:00Z,1788-1-1-GV,,device_not_recording
1768443840000,2026-01-15T02:24:00Z,1788-1-1-GV,,device_not_recording
1768443900000,2026-01-15T02:25:00Z,1788-1-1-GV,,device_not_recording
1768443960000,2026-01-15T02:26:00Z,1788-1-1-GV,,device_not_recording
1768444020000,2026-01-15T02:27:00Z,1788-1-1-GV,,device_not_recording
1768444080000,2026-01-15T02:28:00Z,1788-1-1-GV,,device_not_recording
1768444140000,2026-01-15T02:29:00Z,1788-1-1-GV,,device_not_recording
1768444200000,2026-01-15T02:30:00Z,1788-1-1-GV,,device_not_recording
1768444260000,2026-01-15T02:31:00Z,1788-1-1-GV,,device_not_recording
1768444320000,2026-01-15T02:32:00Z,1788-1-1-GV,,device_not_recording
1768444380000,2026-01-15T02:33:00Z,1788-1-1-GV,,device_not_recording
1768444440000,2026-01-15T02:34:00Z,1788-1-1-GV,,device_not_recording
1768444500000,2026-01-15T02:35:00Z,1788-1-1-GV,,device_not_recording
1768444560000,2026-01-15T02:36:00Z,1788-1-1-GV,,device_not_recording
1768444620000,2026-01-15T02:37:00Z,1788-1-1-GV,,device_not_recording
1768444680000,2026-01-15T02:38:00Z,1788-1-1-GV,,device_not_recording
1768444740000,2026-01-15T02:39:00Z,1788-1-1-GV,,device_not_recording
1768444800000,2026-01-15T02:40:00Z,1788-1-1-GV,,device_not_recording
1768444860000,2026-01-15T02:41:00Z,1788-1-1-GV,,device_not_recording
1768444920000,2026-01-15T02:42:00Z,1788-1-1-GV,,device_not_recording
1768444980000,2026-01-15T02:43:00Z,1788-1-1-GV,,device_not_recording
1768445040000,2026-01-15T02:44:00Z,1788-1-1-GV,,device_not_recording
1768445100000,2026-01-15T02:45:00Z,1788-1-1-GV,,device_not_recording
1768445160000,2026-01-15T02:46:00Z,1788-1-1-GV,,device_not_recording
1768445220000,2026-01-15T02:47:00Z,1788-1-1-GV,,device_not_recording
1768445280000,2026-01-15T02:48:00Z,1788-1-1-GV,,device_not_recording
1768445340000,2026-01-15T02:49:00Z,1788-1-1-GV,,device_not_recording
1768445400000,2026-01-15T02:50:00Z,1788-1-1-GV,,device_not_recording
1768445460000,2026-01-15T02:51:00Z,1788-1-1-GV,,device_not_recording
1768445520000,2026-01-15T02:52:00Z,1788-1-1-GV,,device_not_recording
1768445580000,2026-01-15T02:53:00Z,1788-1-1-GV,,device_not_recording
1768445640000,2026-01-15T02:54:00Z,1788-1-1-GV,,device_not_recording
1768445700000,2026-01-15T02:55:00Z,1788-1-1-GV,,device_not_recording
1768445760000,2026-01-15T02:56:00Z,1788-1-1-GV,,device_not_recording
1768445820000,2026-01-15T02:57:00Z,1788-1-1-GV,,device_not_recording
1768445880000,2026-01-15T02:58:00Z,1788-1-1-GV,,device_not_recording
1768445940000,2026-01-15T02:59:00Z,1788-1-1-GV,,device_not_recording
1768446000000,2026-01-15T03:00:00Z,1788-1-1-GV,,device_not_recording
1768446060000,2026-01-15T03:01:00Z,1788-1-1-GV,,device_not_recording
1768446120000,2026-01-15T03:02:00Z,1788-1-1-GV,,device_not_recording
1768446180000,2026-01-15T03:03:00Z,1788-1-1-GV,,device_not_recording
1768446240000,2026-01-15T03:04:00Z,1788-1-1-GV,,device_not_recording
1768446300000,2026-01-15T03:05:00Z,1788-1-1-GV,,device_not_recording
1768446360000,2026-01-15T03:06:00Z,1788-1-1-GV,,device_not_recording
1768446420000,2026-01-15T03:07:00Z,1788-1-1-GV,,device_not_recording
1768446480000,2026-01-15T03:08:00Z,1788-1-1-GV,,device_not_recording
1768446540000,2026-01-15T03:09:00Z,1788-1-1-GV,,device_not_recording
1768446600000,2026-01-15T03:10:00Z,1788-1-1-GV,,device_not_recording
1768446660000,2026-01-15T03:11:00Z,1788-1-1-GV,,device_not_recording
1768446720000,2026-01-15T03:12:00Z,1788-1-1-GV,,device_not_recording
1768446780000,2026-01-15T03:13:00Z,1788-1-1-GV,,device_not_recording
1768446840000,2026-01-15T03:14:00Z,1788-1-1-GV,,device_not_recording
1768446900000,2026-01-15T03:15:00Z,1788-1-1-GV,,device_not_recording
1768446960000,2026-01-15T03:16:00Z,1788-1-1-GV,,device_not_recording
1768447020000,2026-01-15T03:17:00Z,1788-1-1-GV,,device_not_recording
1768447080000,2026-01-15T03:18:00Z,1788-1-1-GV,,device_not_recording
1768447140000,2026-01-15T03:19:00Z,1788-1-1-GV,,device_not_recording
1768447200000,2026-01-15T03:20:00Z,1788-1-1-GV,,device_not_recording
1768447260000,2026-01-15T03:21:00Z,1788-1-1-GV,,device_not_recording
1768447320000,2026-01-15T03:22:00Z,1788-1-1-GV,,device_not_recording
1768447380000,2026-01-15T03:23:00Z,1788-1-1-GV,,device_not_recording
1768447440000,2026-01-15T03:24:00Z,1788-1-1-GV,,device_not_recording
1768447500000,2026-01-15T03:25:00Z,1788-1-1-GV,,device_not_recording
1768447560000,2026-01-15T03:26:00Z,1788-1-1-GV,,device_not_recording
1768447620000,2026-01-15T03:27:00Z,1788-1-1-GV,,device_not_recording
1768447680000,2026-01-15T03:28:00Z,1788-1-1-GV,,device_not_recording
1768447740000,2026-01-15T03:29:00Z,1788-1-1-GV,,device_not_recording
1768447800000,2026-01-15T03:30:00Z,1788-1-1-GV,,device_not_recording
1768447860000,2026-01-15T03:31:00Z,1788-1-1-GV,,device_not_recording
1768447920000,2026-01-15T03:32:00Z,1788-1-1-GV,,device_not_recording
1768447980000,2026-01-15T03:33:00Z,1788-1-1-GV,,device_not_recording
1768448040000,2026-01-15T03:34:00Z,1788-1-1-GV,,device_not_recording
1768448100000,2026-01-15T03:35:00Z,1788-1-1-GV,,device_not_recording
1768448160000,2026-01-15T03:36:00Z,1788-1-1-GV,,device_not_recording
1768448220000,2026-01-15T03:37:00Z,1788-1-1-GV,,device_not_recording
1768448280000,2026-01-15T03:38:00Z,1788-1-1-GV,,device_not_recording
1768448340000,2026-01-15T03:39:00Z,1788-1-1-GV,,device_not_recording
1768448400000,2026-01-15T03:40:00Z,1788-1-1-GV,,device_not_recording
1768448460000,2026-01-15T03:41:00Z,1788-1-1-GV,,device_not_recording
1768448520000,2026-01-15T03:42:00Z,1788-1-1-GV,,device_not_recording
1768448580000,2026-01-15T03:43:00Z,1788-1-1-GV,,device_not_recording
1768448640000,2026-01-15T03:44:00Z,1788-1-1-GV,,device_not_recording
1768448700000,2026-01-15T03:45:00Z,1788-1-1-GV,,device_not_recording
1768448760000,2026-01-15T03:46:00Z,1788-1-1-GV,,device_not_recording
1768448820000,2026-01-15T03:47:00Z,1788-1-1-GV,,device_not_recording
1768448880000,2026-01-15T03:48:00Z,1788-1-1-GV,,device_not_recording
1768448940000,2026-01-15T03:49:00Z,1788-1-1-GV,,device_not_recording
1768449000000,2026-01-15T03:50:00Z,1788-1-1-GV,,device_not_recording
1768449060000,2026-01-15T03:51:00Z,1788-1-1-GV,,device_not_recording
1768449120000,2026-01-15T03:52:00Z,1788-1-1-GV,,device_not_recording
